# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-12-14 13:34:44 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03287000 KENTUCKY RIVER AT LOCK 6 NEAR SALVISA, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03287000
#            TS   parameter     statistic     Description
#         58779       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	58779_00060_00003	58779_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03287000	2016-12-13	2510	P
USGS	03287000	2016-12-14	2900	P
USGS	03287000	2016-12-15	3300	P
USGS	03287000	2016-12-16	3060	P
USGS	03287000	2016-12-17	2400	P
USGS	03287000	2016-12-18	5160	P
USGS	03287000	2016-12-19	13900	P
USGS	03287000	2016-12-20	16500	P
USGS	03287000	2016-12-21	12000	P
USGS	03287000	2016-12-22	8030	P
USGS	03287000	2016-12-23	6260	P
USGS	03287000	2016-12-24	5900	P
USGS	03287000	2016-12-25	8060	P
USGS	03287000	2016-12-26	9350	P
USGS	03287000	2016-12-27	14500	P
USGS	03287000	2016-12-28	18700	P
USGS	03287000	2016-12-29	21100	P
USGS	03287000	2016-12-30	20000	P
USGS	03287000	2016-12-31	16400	P
USGS	03287000	2017-01-01	12900	P
USGS	03287000	2017-01-02	9910	P
USGS	03287000	2017-01-03	9080	P
USGS	03287000	2017-01-04	11000	P
USGS	03287000	2017-01-05	11000	P
USGS	03287000	2017-01-06	11700	P
USGS	03287000	2017-01-07	10400	P
USGS	03287000	2017-01-08	8270	P
USGS	03287000	2017-01-09	5930	P
USGS	03287000	2017-01-10	4440	P
USGS	03287000	2017-01-11	4390	P
USGS	03287000	2017-01-12	4780	P
USGS	03287000	2017-01-13	8020	P
USGS	03287000	2017-01-14	14300	P
USGS	03287000	2017-01-15	16500	P
USGS	03287000	2017-01-16	16300	P
USGS	03287000	2017-01-17	19300	P
USGS	03287000	2017-01-18	23300	P
USGS	03287000	2017-01-19	21300	P
USGS	03287000	2017-01-20	19100	P
USGS	03287000	2017-01-21	17700	P
USGS	03287000	2017-01-22	15400	P
USGS	03287000	2017-01-23	14000	P
