# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-12-14 13:39:03 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03301500 ROLLING FORK NEAR BOSTON, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03301500
#            TS   parameter     statistic     Description
#         58922       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#     q  
# 
agency_cd	site_no	datetime	58922_00060_00003	58922_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03301500	2016-12-13	371	P
USGS	03301500	2016-12-14	511	P
USGS	03301500	2016-12-15	527	P
USGS	03301500	2016-12-16	392	P
USGS	03301500	2016-12-17	329	P
USGS	03301500	2016-12-18	5680	P
USGS	03301500	2016-12-19	9910	P
USGS	03301500	2016-12-20	5890	P
USGS	03301500	2016-12-21	1810	P
USGS	03301500	2016-12-22	1160	P
USGS	03301500	2016-12-23	855	P
USGS	03301500	2016-12-24	1450	P
USGS	03301500	2016-12-25	3270	P
USGS	03301500	2016-12-26	3270	P
USGS	03301500	2016-12-27	7460	P
USGS	03301500	2016-12-28	9350	P
USGS	03301500	2016-12-29	5310	P
USGS	03301500	2016-12-30	2690	P
USGS	03301500	2016-12-31	1790	P
USGS	03301500	2017-01-01	1370	P
USGS	03301500	2017-01-02	1190	P
USGS	03301500	2017-01-03	2810	P
USGS	03301500	2017-01-04	4330	P
USGS	03301500	2017-01-05	3490	P
USGS	03301500	2017-01-06	2110	P
USGS	03301500	2017-01-07	1430	P
USGS	03301500	2017-01-08	1040	P
USGS	03301500	2017-01-09	822	P
USGS	03301500	2017-01-10	773	P
USGS	03301500	2017-01-11	852	P
USGS	03301500	2017-01-12	1200	P
USGS	03301500	2017-01-13	3090	P
USGS	03301500	2017-01-14	6630	P
USGS	03301500	2017-01-15	6800	P
USGS	03301500	2017-01-16	5220	P
USGS	03301500	2017-01-17	9570	P
USGS	03301500	2017-01-18	14700	P
USGS	03301500	2017-01-19	10400	P
USGS	03301500	2017-01-20	8050	P
USGS	03301500	2017-01-21	8380	P
USGS	03301500	2017-01-22	5880	P
USGS	03301500	2017-01-23	3710	P
USGS	03301500	2017-01-24	4040	P
USGS	03301500	2017-01-25	4770	P
USGS	03301500	2017-01-26	2990	P
USGS	03301500	2017-01-27	2260	P
USGS	03301500	2017-01-28	1910	P
USGS	03301500	2017-01-29	1490	P
USGS	03301500	2017-01-30	1170	P
USGS	03301500	2017-01-31	991	P
USGS	03301500	2017-02-01	877	P
USGS	03301500	2017-02-02	780	P
USGS	03301500	2017-02-03	698	P
USGS	03301500	2017-02-04	627	P
USGS	03301500	2017-02-05	579	P
USGS	03301500	2017-02-06	546	P
USGS	03301500	2017-02-07	969	P
USGS	03301500	2017-02-08	3320	P
USGS	03301500	2017-02-09	5330	P
USGS	03301500	2017-02-10	4610	P
USGS	03301500	2017-02-11	2900	P
USGS	03301500	2017-02-12	1940	P
USGS	03301500	2017-02-13	1500	P
USGS	03301500	2017-02-14	1220	P
USGS	03301500	2017-02-15	1060	P
USGS	03301500	2017-02-16	935	P
USGS	03301500	2017-02-17	837	P
USGS	03301500	2017-02-18	755	P
USGS	03301500	2017-02-19	695	P
USGS	03301500	2017-02-20	641	P
USGS	03301500	2017-02-21	601	P
USGS	03301500	2017-02-22	580	P
USGS	03301500	2017-02-23	603	P
USGS	03301500	2017-02-24	591	P
USGS	03301500	2017-02-25	580	P
USGS	03301500	2017-02-26	550	P
USGS	03301500	2017-02-27	554	P
USGS	03301500	2017-02-28	627	P
USGS	03301500	2017-03-01	6630	P
USGS	03301500	2017-03-02	13800	P
USGS	03301500	2017-03-03	8730	P
USGS	03301500	2017-03-04	4020	P
USGS	03301500	2017-03-05	3340	P
USGS	03301500	2017-03-06	2580	P
USGS	03301500	2017-03-07	1630	P
USGS	03301500	2017-03-08	1660	P
USGS	03301500	2017-03-09	1690	P
USGS	03301500	2017-03-10	1490	P
USGS	03301500	2017-03-11	1250	P
USGS	03301500	2017-03-12	1060	P
USGS	03301500	2017-03-13	936	P
USGS	03301500	2017-03-14	847	P
USGS	03301500	2017-03-15	771	P
USGS	03301500	2017-03-16	701	P
USGS	03301500	2017-03-17	645	P
USGS	03301500	2017-03-18	670	P
USGS	03301500	2017-03-19	709	P
USGS	03301500	2017-03-20	666	P
USGS	03301500	2017-03-21	626	P
USGS	03301500	2017-03-22	574	P
USGS	03301500	2017-03-23	519	P
USGS	03301500	2017-03-24	474	P
USGS	03301500	2017-03-25	442	P
USGS	03301500	2017-03-26	546	P
USGS	03301500	2017-03-27	847	P
USGS	03301500	2017-03-28	1460	P
USGS	03301500	2017-03-29	2460	P
USGS	03301500	2017-03-30	1800	P
USGS	03301500	2017-03-31	1590	P
USGS	03301500	2017-04-01	1840	P
USGS	03301500	2017-04-02	2190	P
USGS	03301500	2017-04-03	1600	P
USGS	03301500	2017-04-04	1530	P
USGS	03301500	2017-04-05	1550	P
USGS	03301500	2017-04-06	1990	P
USGS	03301500	2017-04-07	3640	P
USGS	03301500	2017-04-08	2790	P
USGS	03301500	2017-04-09	1810	P
USGS	03301500	2017-04-10	1360	P
USGS	03301500	2017-04-11	1100	P
USGS	03301500	2017-04-12	995	P
USGS	03301500	2017-04-13	967	P
USGS	03301500	2017-04-14	876	P
USGS	03301500	2017-04-15	746	P
USGS	03301500	2017-04-16	703	P
USGS	03301500	2017-04-17	2400	P
USGS	03301500	2017-04-18	2560	P
USGS	03301500	2017-04-19	1850	P
USGS	03301500	2017-04-20	1400	P
USGS	03301500	2017-04-21	1130	P
USGS	03301500	2017-04-22	1050	P
USGS	03301500	2017-04-23	1040	P
USGS	03301500	2017-04-24	1140	P
USGS	03301500	2017-04-25	1290	P
USGS	03301500	2017-04-26	1090	P
USGS	03301500	2017-04-27	890	P
USGS	03301500	2017-04-28	742	P
USGS	03301500	2017-04-29	621	P
USGS	03301500	2017-04-30	608	P
USGS	03301500	2017-05-01	617	P
USGS	03301500	2017-05-02	870	P
USGS	03301500	2017-05-03	823	P
USGS	03301500	2017-05-04	605	P
USGS	03301500	2017-05-05	1040	P
USGS	03301500	2017-05-06	2050	P
USGS	03301500	2017-05-07	2990	P
USGS	03301500	2017-05-08	2020	P
USGS	03301500	2017-05-09	1290	P
USGS	03301500	2017-05-10	1020	P
USGS	03301500	2017-05-11	876	P
USGS	03301500	2017-05-12	2190	P
USGS	03301500	2017-05-13	4080	P
USGS	03301500	2017-05-14	3540	P
USGS	03301500	2017-05-15	1600	P
USGS	03301500	2017-05-16	1020	P
USGS	03301500	2017-05-17	741	P
USGS	03301500	2017-05-18	566	P
USGS	03301500	2017-05-19	449	P
USGS	03301500	2017-05-20	367	P
USGS	03301500	2017-05-21	554	P
USGS	03301500	2017-05-22	3460	P
USGS	03301500	2017-05-23	1770	P
USGS	03301500	2017-05-24	936	P
USGS	03301500	2017-05-25	1050	P
USGS	03301500	2017-05-26	1150	P
USGS	03301500	2017-05-27	1470	P
USGS	03301500	2017-05-28	1330	P
USGS	03301500	2017-05-29	1250	P
USGS	03301500	2017-05-30	945	P
USGS	03301500	2017-05-31	665	P
USGS	03301500	2017-06-01	485	P
USGS	03301500	2017-06-02	365	P
USGS	03301500	2017-06-03	290	P
USGS	03301500	2017-06-04	234	P
USGS	03301500	2017-06-05	201	P
USGS	03301500	2017-06-06	181	P
USGS	03301500	2017-06-07	175	P
USGS	03301500	2017-06-08	198	P
USGS	03301500	2017-06-09	157	P
USGS	03301500	2017-06-10	126	P
USGS	03301500	2017-06-11	104	P
USGS	03301500	2017-06-12	85.8	P
USGS	03301500	2017-06-13	72.9	P
USGS	03301500	2017-06-14	67.3	P
USGS	03301500	2017-06-15	134	P
USGS	03301500	2017-06-16	306	P
USGS	03301500	2017-06-17	371	P
USGS	03301500	2017-06-18	249	P
USGS	03301500	2017-06-19	488	P
USGS	03301500	2017-06-20	276	P
USGS	03301500	2017-06-21	175	P
USGS	03301500	2017-06-22	141	P
USGS	03301500	2017-06-23	2060	P
USGS	03301500	2017-06-24	8740	P
USGS	03301500	2017-06-25	6300	P
