# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-12-14 13:36:45 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03310300 NOLIN RIVER AT WHITE MILLS, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03310300
#            TS   parameter     statistic     Description
#         58995       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	58995_00060_00003	58995_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03310300	2016-12-13	155	P
USGS	03310300	2016-12-14	141	P
USGS	03310300	2016-12-15	121	P
USGS	03310300	2016-12-16	111	P
USGS	03310300	2016-12-17	108	P
USGS	03310300	2016-12-18	1660	P
USGS	03310300	2016-12-19	1140	P
USGS	03310300	2016-12-20	599	P
USGS	03310300	2016-12-21	473	P
USGS	03310300	2016-12-22	400	P
USGS	03310300	2016-12-23	340	P
USGS	03310300	2016-12-24	614	P
USGS	03310300	2016-12-25	816	P
USGS	03310300	2016-12-26	628	P
USGS	03310300	2016-12-27	2810	P
USGS	03310300	2016-12-28	1710	P
USGS	03310300	2016-12-29	1190	P
USGS	03310300	2016-12-30	961	P
USGS	03310300	2016-12-31	775	P
USGS	03310300	2017-01-01	683	P
USGS	03310300	2017-01-02	605	P
USGS	03310300	2017-01-03	1130	P
USGS	03310300	2017-01-04	1360	P
USGS	03310300	2017-01-05	978	P
USGS	03310300	2017-01-06	803	P
USGS	03310300	2017-01-07	658	P
USGS	03310300	2017-01-08	555	P
USGS	03310300	2017-01-09	494	P
USGS	03310300	2017-01-10	451	P
USGS	03310300	2017-01-11	477	P
USGS	03310300	2017-01-12	539	P
USGS	03310300	2017-01-13	835	P
USGS	03310300	2017-01-14	1790	P
USGS	03310300	2017-01-15	1520	P
USGS	03310300	2017-01-16	1240	P
USGS	03310300	2017-01-17	3280	P
USGS	03310300	2017-01-18	2960	P
USGS	03310300	2017-01-19	1660	P
USGS	03310300	2017-01-20	3240	P
USGS	03310300	2017-01-21	2160	P
USGS	03310300	2017-01-22	1550	P
USGS	03310300	2017-01-23	1320	P
USGS	03310300	2017-01-24	1120	P
USGS	03310300	2017-01-25	978	P
USGS	03310300	2017-01-26	875	P
USGS	03310300	2017-01-27	762	P
USGS	03310300	2017-01-28	685	P
USGS	03310300	2017-01-29	631	P
USGS	03310300	2017-01-30	575	P
USGS	03310300	2017-01-31	527	P
USGS	03310300	2017-02-01	491	P
USGS	03310300	2017-02-02	449	P
USGS	03310300	2017-02-03	415	P
USGS	03310300	2017-02-04	372	P
USGS	03310300	2017-02-05	348	P
USGS	03310300	2017-02-06	332	P
USGS	03310300	2017-02-07	617	P
USGS	03310300	2017-02-08	1300	P
USGS	03310300	2017-02-09	1330	P
USGS	03310300	2017-02-10	1010	P
USGS	03310300	2017-02-11	853	P
USGS	03310300	2017-02-12	730	P
USGS	03310300	2017-02-13	623	P
USGS	03310300	2017-02-14	549	P
USGS	03310300	2017-02-15	510	P
USGS	03310300	2017-02-16	463	P
USGS	03310300	2017-02-17	418	P
USGS	03310300	2017-02-18	390	P
USGS	03310300	2017-02-19	363	P
USGS	03310300	2017-02-20	334	P
USGS	03310300	2017-02-21	315	P
USGS	03310300	2017-02-22	309	P
USGS	03310300	2017-02-23	311	P
USGS	03310300	2017-02-24	285	P
USGS	03310300	2017-02-25	271	P
USGS	03310300	2017-02-26	252	P
USGS	03310300	2017-02-27	237	P
USGS	03310300	2017-02-28	236	P
USGS	03310300	2017-03-01	1380	P
USGS	03310300	2017-03-02	1400	P
USGS	03310300	2017-03-03	786	P
USGS	03310300	2017-03-04	604	P
USGS	03310300	2017-03-05	513	P
USGS	03310300	2017-03-06	463	P
USGS	03310300	2017-03-07	475	P
USGS	03310300	2017-03-08	636	P
USGS	03310300	2017-03-09	552	P
